,ID,Destination,Reason for Leaving,Entry_Date,Exit_Date,Duration
11702146,403050,,,2019-10-16,,
11702234,399892,Client rental without subsidy,Left for housing opp. before completing program,2016-06-07,2016-07-02,25 
11702266,399892,No exit interview,Unknown/Disappeared,2016-12-05,2016-12-12,7 
11702298,399892,With family temporarily,Other,2017-06-26,2017-07-17,21 
11702330,399892,Client rental with other subsidy,Completed program,2017-11-03,2017-12-27,54 
11750402,430243,Client rental without subsidy,Completed program,2016-06-06,2016-09-05,91 
11750418,430243,Client rental without subsidy,Completed program,2017-01-07,2017-08-02,207 
11750434,430243,Client rental without subsidy,Completed program,2016-06-06,2016-09-05,91 
11750450,430243,Client rental without subsidy,Completed program,2017-01-07,2017-08-02,207 
11750466,196082,With friends temporarily,Other,2015-10-26,2015-10-30,4 
11750547,196082,With friends temporarily,Other,2015-11-16,2015-12-06,20 
11750628,196082,With friends temporarily,Other,2015-12-18,2015-12-20,2 
11750709,196082,With friends temporarily,Other,2015-12-21,2016-03-03,73 
11750790,196082,With friends temporarily,Other,2016-03-05,2016-03-15,10 
11750871,196082,With friends temporarily,Other,2016-03-17,2016-06-02,77 
11750952,196082,Data not collected,Unknown/Disappeared,2016-06-08,2016-08-18,71 
11751033,196082,Data not collected,Unknown/Disappeared,2016-08-22,2016-09-26,35 
11751114,196082,Data not collected,Non-compliance with program,2016-10-10,2016-10-16,6 
11757027,249545,With friends temporarily,Other,2016-06-08,2016-06-11,3 
11796339,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
11796366,301121,Client rental without subsidy,Completed program,2017-07-20,2017-07-28,8 
11796393,301121,Transitional homeless housing,Completed program,2018-11-15,2019-07-01,228 
11796420,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
11796447,301121,Client rental without subsidy,Completed program,2017-07-20,2017-07-28,8 
11796474,301121,Transitional homeless housing,Completed program,2018-11-15,2019-07-01,228 
11796501,301121,Client rental with other subsidy,Completed program,2016-06-06,2016-10-06,122 
11796528,301121,Client rental without subsidy,Completed program,2017-07-20,2017-07-28,8 
11796555,301121,Transitional homeless housing,Completed program,2018-11-15,2019-07-01,228 
11796582,349278,With friends temporarily,Other,2016-06-06,2016-07-02,26 
11796598,349278,No exit interview,Unknown/Disappeared,2017-09-06,2017-09-12,6 
11796614,349278,With friends temporarily,Other,2016-06-06,2016-07-02,26 
11796630,349278,No exit interview,Unknown/Disappeared,2017-09-06,2017-09-12,6 
11798886,430244,Data not collected,Unknown/Disappeared,2016-06-08,2016-08-18,71 
11798934,430244,Client rental with other subsidy,Completed program,2016-08-20,2016-10-30,71 
11798982,430244,With family temporarily,Other,2017-03-05,2017-04-14,40 
11799030,430244,,,2019-03-10,,
11799462,430244,Data not collected,Unknown/Disappeared,2016-06-08,2016-08-18,71 
11799510,430244,Client rental with other subsidy,Completed program,2016-08-20,2016-10-30,71 
11799558,430244,With family temporarily,Other,2017-03-05,2017-04-14,40 
11799606,430244,,,2019-03-10,,
11799654,231428,With friends temporarily,Other,2016-06-06,2016-06-22,16 
11799702,231428,Data not collected,Unknown/Disappeared,2016-11-15,2016-11-17,2 
11799750,231428,Data not collected,Unknown/Disappeared,2016-11-20,2016-11-20,0 
11799798,231428,No exit interview,Unknown/Disappeared,2016-11-25,2016-12-01,6 
11799846,231428,No exit interview,Unknown/Disappeared,2016-12-16,2016-12-28,12 
11799894,231428,No exit interview,Unknown/Disappeared,2016-12-23,2017-01-10,18 
11801382,9728,With friends temporarily,Other,2016-06-06,2016-06-17,11 
11801400,9728,Client rental with other subsidy,Left for housing opp. before completing program,2016-06-19,2017-01-18,213 
11801454,184448,With friends temporarily,Other,2016-06-09,2016-07-05,26 
11801455,429870,With friends temporarily,Other,2016-06-04,2016-06-20,16 
11801463,430325,Client rental without subsidy,Left for housing opp. before completing program,2016-06-07,2016-07-01,24 
11801487,430325,No exit interview,Unknown/Disappeared,2018-12-15,2019-02-08,55 
11801511,430325,With friends temporarily,Left for housing opp. before completing program,2019-08-07,2019-10-01,55 
11801535,430325,Client rental without subsidy,Left for housing opp. before completing program,2016-06-07,2016-07-01,24 
11801559,430325,No exit interview,Unknown/Disappeared,2018-12-15,2019-02-08,55 
11801583,430325,With friends temporarily,Left for housing opp. before completing program,2019-08-07,2019-10-01,55 
11801607,430325,Client rental without subsidy,Left for housing opp. before completing program,2016-06-07,2016-07-01,24 
11801631,430325,No exit interview,Unknown/Disappeared,2018-12-15,2019-02-08,55 
11801655,430325,With friends temporarily,Left for housing opp. before completing program,2019-08-07,2019-10-01,55 
11801679,430327,With friends temporarily,Other,2016-06-10,2016-06-13,3 
11801687,430328,With friends temporarily,Other,2016-06-06,2016-06-21,15 
11801695,160302,With friends temporarily,Other,2016-06-11,2016-06-15,4 
11801740,160302,Data not collected,Unknown/Disappeared,2016-08-01,2016-08-07,6 
11801785,160302,With family temporarily,Other,2017-02-26,2017-03-07,9 
11801830,160302,With family temporarily,Other,2017-03-11,2017-03-20,9 
11801875,160302,With family temporarily,Other,2017-03-29,2017-04-03,5 
11802145,160302,With friends temporarily,Other,2016-06-11,2016-06-15,4 
11802190,160302,Data not collected,Unknown/Disappeared,2016-08-01,2016-08-07,6 
11802235,160302,With family temporarily,Other,2017-02-26,2017-03-07,9 
11802280,160302,With family temporarily,Other,2017-03-11,2017-03-20,9 
11802325,160302,With family temporarily,Other,2017-03-29,2017-04-03,5 
11845380,329555,Client refused,Unknown/Disappeared,2016-06-10,2016-06-12,2 
11845396,329555,With family permanently,Left for housing opp. before completing program,2016-06-16,2016-08-12,57 
11911216,383778,With friends temporarily,Other,2015-11-30,2015-12-07,7 
11911272,383778,Data not collected,Unknown/Disappeared,2015-12-14,2015-12-17,3 
11911328,383778,With friends temporarily,Other,2016-04-05,2016-04-17,12 
11911384,383778,With friends temporarily,Other,2016-05-12,2016-05-25,13 
11911440,383778,With friends temporarily,Other,2016-06-13,2016-06-25,12 
11911496,383778,With friends temporarily,Other,2016-07-01,2016-07-11,10 
11911552,383778,Data not collected,Unknown/Disappeared,2016-07-18,2016-09-07,51 
11912000,383778,With friends temporarily,Other,2015-11-30,2015-12-07,7 
11912056,383778,Data not collected,Unknown/Disappeared,2015-12-14,2015-12-17,3 
11912112,383778,With friends temporarily,Other,2016-04-05,2016-04-17,12 
11912168,383778,With friends temporarily,Other,2016-05-12,2016-05-25,13 
11912224,383778,With friends temporarily,Other,2016-06-13,2016-06-25,12 
11912280,383778,With friends temporarily,Other,2016-07-01,2016-07-11,10 
11912336,383778,Data not collected,Unknown/Disappeared,2016-07-18,2016-09-07,51 
11919792,377721,With friends temporarily,Other,2016-06-13,2016-06-16,3 
11919816,377721,No exit interview,Unknown/Disappeared,2016-11-28,2016-12-01,3 
11919840,377721,With family temporarily,Other,2017-03-26,2017-03-28,2 
11919864,377721,With friends temporarily,Other,2016-06-13,2016-06-16,3 
11919888,377721,No exit interview,Unknown/Disappeared,2016-11-28,2016-12-01,3 
11919912,377721,With family temporarily,Other,2017-03-26,2017-03-28,2 
11921268,147927,With friends temporarily,Other,2016-06-15,2016-06-16,1 
11921292,147927,Psychiatric facility,Other,2016-07-01,2017-03-02,244 
11921316,147927,No exit interview,Unknown/Disappeared,2017-03-23,2018-03-02,344 
11921412,147927,With friends temporarily,Other,2016-06-15,2016-06-16,1 
11921436,147927,Psychiatric facility,Other,2016-07-01,2017-03-02,244 
11921460,147927,No exit interview,Unknown/Disappeared,2017-03-23,2018-03-02,344 
11966396,349279,With friends temporarily,Other,2016-06-06,2016-06-17,11 
11966412,349279,No exit interview,Unknown/Disappeared,2017-10-02,2017-10-10,8 
11966460,430802,Client rental with other subsidy,Left for housing opp. before completing program,2016-06-08,2016-09-12,96 
11992261,431031,Data not collected,Unknown/Disappeared,2016-06-20,2016-09-05,77 
11992285,431031,Data not collected,Unknown/Disappeared,2016-09-06,2016-10-02,26 
11992309,431031,No exit interview,Unknown/Disappeared,2016-10-17,2016-12-01,45 
11996573,227678,With friends temporarily,Other,2016-04-09,2016-04-10,1 
11996653,227678,With friends temporarily,Other,2016-04-11,2016-04-18,7 
11996733,227678,Data not collected,Unknown/Disappeared,2016-06-20,2016-07-27,37 
11996813,227678,Data not collected,Unknown/Disappeared,2016-10-03,2016-10-10,7 
11996893,227678,No exit interview,Unknown/Disappeared,2016-10-24,2017-01-17,85 
11996973,227678,No exit interview,Unknown/Disappeared,2017-01-26,2017-02-12,17 
11997053,227678,With family temporarily,Other,2017-02-15,2017-02-18,3 
11997133,227678,With family temporarily,Other,2017-03-11,2017-03-20,9 
11997213,227678,No exit interview,Unknown/Disappeared,2017-09-13,2017-10-03,20 
11997293,227678,No exit interview,Unknown/Disappeared,2017-10-26,2017-11-21,26 
12002973,227678,With friends temporarily,Other,2016-04-09,2016-04-10,1 
12003053,227678,With friends temporarily,Other,2016-04-11,2016-04-18,7 
12003133,227678,Data not collected,Unknown/Disappeared,2016-06-20,2016-07-27,37 
12003213,227678,Data not collected,Unknown/Disappeared,2016-10-03,2016-10-10,7 
12003293,227678,No exit interview,Unknown/Disappeared,2016-10-24,2017-01-17,85 
12003373,227678,No exit interview,Unknown/Disappeared,2017-01-26,2017-02-12,17 
12003453,227678,With family temporarily,Other,2017-02-15,2017-02-18,3 
12003533,227678,With family temporarily,Other,2017-03-11,2017-03-20,9 
12003613,227678,No exit interview,Unknown/Disappeared,2017-09-13,2017-10-03,20 
12003693,227678,No exit interview,Unknown/Disappeared,2017-10-26,2017-11-21,26 
12004573,431030,Data not collected,Unknown/Disappeared,2016-06-20,2016-08-29,70 
12004581,431032,With friends temporarily,Other,2016-06-20,2016-06-27,7 
12004589,257677,With friends temporarily,Other,2015-10-05,2015-10-06,1 
12004669,257677,With friends temporarily,Other,2015-10-28,2015-11-10,13 
12004749,257677,With friends temporarily,Other,2015-11-10,2015-11-14,4 
12004829,257677,With friends temporarily,Other,2015-11-16,2015-11-26,10 
12004909,257677,With friends temporarily,Other,2015-12-03,2015-12-06,3 
12004989,257677,With friends temporarily,Other,2015-12-18,2015-12-20,2 
12005069,257677,With friends temporarily,Other,2015-12-21,2015-12-24,3 
12005149,257677,With friends temporarily,Other,2016-01-17,2016-01-18,1 
12005229,257677,With friends temporarily,Other,2016-02-13,2016-02-18,5 
12005309,257677,With friends temporarily,Other,2016-06-20,2016-06-27,7 
12012589,292185,With friends temporarily,Other,2016-02-01,2016-02-09,8 
12012645,292185,With friends temporarily,Other,2016-02-10,2016-03-11,30 
12012701,292185,With friends temporarily,Other,2016-03-21,2016-04-17,27 
12012757,292185,With friends temporarily,Other,2016-06-20,2016-06-27,7 
12012813,292185,With family temporarily,Other,2017-07-04,2017-07-15,11 
12012869,292185,With family temporarily,Other,2017-07-16,2017-08-01,16 
12012925,292185,With friends permanently,Left for housing opp. before completing program,2017-08-02,2017-09-11,40 
12015333,385113,With friends temporarily,Other,2016-06-20,2016-06-23,3 
12018509,430419,With friends temporarily,Other,2016-06-13,2016-06-22,9 
12040469,421596,With friends temporarily,Other,2016-04-11,2016-06-15,65 
12040485,421596,With friends temporarily,Other,2016-06-19,2016-07-01,12 
12048822,431161,With friends temporarily,Other,2016-06-20,2016-06-23,3 
12048862,431161,With friends temporarily,Other,2016-06-25,2016-07-01,6 
12048902,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-03-19,2018-04-04,16 
12048942,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-12-03,2018-12-15,12 
12048982,431161,No exit interview,Unknown/Disappeared,2019-05-27,2019-07-16,50 
12049222,431161,With friends temporarily,Other,2016-06-20,2016-06-23,3 
12049262,431161,With friends temporarily,Other,2016-06-25,2016-07-01,6 
12049302,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-03-19,2018-04-04,16 
12049342,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-12-03,2018-12-15,12 
12049382,431161,No exit interview,Unknown/Disappeared,2019-05-27,2019-07-16,50 
12049422,431161,With friends temporarily,Other,2016-06-20,2016-06-23,3 
12049462,431161,With friends temporarily,Other,2016-06-25,2016-07-01,6 
12049502,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-03-19,2018-04-04,16 
12049542,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-12-03,2018-12-15,12 
12049582,431161,No exit interview,Unknown/Disappeared,2019-05-27,2019-07-16,50 
12049622,431161,With friends temporarily,Other,2016-06-20,2016-06-23,3 
12049662,431161,With friends temporarily,Other,2016-06-25,2016-07-01,6 
12049702,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-03-19,2018-04-04,16 
12049742,431161,Client rental without subsidy,Left for housing opp. before completing program,2018-12-03,2018-12-15,12 
12049782,431161,No exit interview,Unknown/Disappeared,2019-05-27,2019-07-16,50 
12067398,180383,With friends temporarily,Other,2015-08-15,2015-09-21,37 
12067454,180383,With friends temporarily,Other,2015-09-30,2015-10-18,18 
12067510,180383,With friends temporarily,Other,2016-01-16,2016-06-22,158 
12067566,180383,With friends temporarily,Other,2016-06-23,2016-06-24,1 
12067622,180383,No exit interview,Unknown/Disappeared,2016-11-21,2016-12-01,10 
12067678,180383,With friends temporarily,Needs could not be met,2017-03-16,2017-03-19,3 
12067734,180383,With family temporarily,Other,2017-05-01,2017-06-05,35 
12071142,429484,With friends temporarily,Other,2016-05-29,2016-06-28,30 
12071150,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
12071216,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
12071282,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
12071348,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
12071414,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
12071480,322898,,,2019-05-06,,
12071546,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
12071612,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
12071678,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
12071744,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
12071810,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
12071876,322898,,,2019-05-06,,
12073130,322898,No exit interview,Unknown/Disappeared,2016-05-16,2016-12-18,216 
12073196,322898,With friends temporarily,Other,2017-05-30,2017-06-05,6 
12073262,322898,Client rental without subsidy,Completed program,2017-09-27,2017-10-16,19 
12073328,322898,With family permanently,Left for housing opp. before completing program,2017-10-24,2017-11-03,10 
12073394,322898,Client rental with other subsidy,Completed program,2018-05-03,2018-10-02,152 
12073460,322898,,,2019-05-06,,
12073806,169422,Psychiatric facility,Other,2015-08-21,2015-10-22,62 
12073894,169422,With friends temporarily,Other,2015-10-24,2015-12-18,55 
12073982,169422,With friends temporarily,Other,2015-12-21,2016-01-01,11 
12074070,169422,With friends temporarily,Other,2016-01-18,2016-01-29,11 
12074158,169422,With friends temporarily,Other,2016-02-13,2016-02-15,2 
12074246,169422,Client does not know,Completed program,2016-02-17,2016-03-01,13 
12074334,169422,With friends temporarily,Other,2016-04-09,2016-04-10,1 
12074422,169422,Client rental without subsidy,Completed program,2016-06-22,2016-09-05,75 
12074510,169422,With family permanently,Completed program,2017-03-15,2017-06-19,96 
12074598,169422,With family temporarily,Non-compliance with program,2019-03-19,2019-03-29,10 
12074686,169422,Place not meant for habitation,Criminal activity / violence,2019-06-03,2019-07-05,32 
12082518,169422,Psychiatric facility,Other,2015-08-21,2015-10-22,62 
12082606,169422,With friends temporarily,Other,2015-10-24,2015-12-18,55 
12082694,169422,With friends temporarily,Other,2015-12-21,2016-01-01,11 
12082782,169422,With friends temporarily,Other,2016-01-18,2016-01-29,11 
12082870,169422,With friends temporarily,Other,2016-02-13,2016-02-15,2 
12082958,169422,Client does not know,Completed program,2016-02-17,2016-03-01,13 
12083046,169422,With friends temporarily,Other,2016-04-09,2016-04-10,1 
12083134,169422,Client rental without subsidy,Completed program,2016-06-22,2016-09-05,75 
12083222,169422,With family permanently,Completed program,2017-03-15,2017-06-19,96 
12083310,169422,With family temporarily,Non-compliance with program,2019-03-19,2019-03-29,10 
12083398,169422,Place not meant for habitation,Criminal activity / violence,2019-06-03,2019-07-05,32 
12084454,423991,With friends temporarily,Other,2016-03-05,2016-05-19,75 
12084510,423991,Medical facility,Other,2016-05-25,2016-06-10,16 
12084566,423991,Medical facility,Other,2016-06-22,2016-06-27,5 
12084622,423991,With friends temporarily,Other,2016-07-01,2016-07-05,4 
12084678,423991,Medical facility,Other,2016-07-06,2016-07-16,10 
12084734,423991,Data not collected,Unknown/Disappeared,2016-08-13,2016-11-13,92 
12084790,423991,Client rental with other subsidy,Completed program,2017-03-11,2017-06-27,108 
12087198,431276,With friends temporarily,Other,2016-06-18,2016-06-28,10 
12087206,341525,With friends temporarily,Other,2016-06-20,2016-06-28,8 
12087222,341525,With family temporarily,Other,2017-07-07,2017-07-12,5 
12087270,271140,With friends temporarily,Other,2016-06-22,2016-06-29,7 
12089278,375893,With friends temporarily,Other,2015-08-15,2015-08-21,6 
12089286,375893,With friends temporarily,Other,2016-06-22,2016-07-20,28 
12089294,375893,With family temporarily,Disagreement with rules/persons,2017-02-14,2017-03-16,30 
12089326,375893,With friends temporarily,Other,2015-08-15,2015-08-21,6 
12089334,375893,With friends temporarily,Other,2016-06-22,2016-07-20,28 
12089342,375893,With family temporarily,Disagreement with rules/persons,2017-02-14,2017-03-16,30 
12089350,431162,With friends temporarily,Other,2016-06-18,2016-06-27,9 
12092102,431451,With friends temporarily,Other,2016-06-23,2016-06-25,2 
12094854,181610,With friends temporarily,Other,2016-06-23,2016-06-28,5 
12094862,181610,Data not collected,Unknown/Disappeared,2016-07-18,2016-08-01,14 
12094870,181610,Data not collected,Unknown/Disappeared,2016-08-08,2016-08-21,13 
12094878,181610,Data not collected,Unknown/Disappeared,2016-09-06,2016-09-19,13 
12097942,337991,With friends temporarily,Other,2016-02-22,2016-03-01,8 
12097998,337991,With friends temporarily,Other,2016-03-02,2016-04-05,34 
12098054,337991,With friends temporarily,Other,2016-04-06,2016-05-04,28 
12098110,337991,With friends temporarily,Other,2016-05-05,2016-06-25,51 
12098166,337991,Client rental with other subsidy,Completed program,2016-06-26,2016-09-05,71 
12098222,337991,No exit interview,Unknown/Disappeared,2017-12-06,2017-12-21,15 
12098278,337991,Medical facility,Other,2018-02-06,2018-03-03,25 
12098334,337991,Place not meant for habitation,Non-compliance with program,2018-03-15,2018-05-03,49 
12100182,337991,With friends temporarily,Other,2016-02-22,2016-03-01,8 
12100238,337991,With friends temporarily,Other,2016-03-02,2016-04-05,34 
12100294,337991,With friends temporarily,Other,2016-04-06,2016-05-04,28 
12100350,337991,With friends temporarily,Other,2016-05-05,2016-06-25,51 
12100406,337991,Client rental with other subsidy,Completed program,2016-06-26,2016-09-05,71 
12100462,337991,No exit interview,Unknown/Disappeared,2017-12-06,2017-12-21,15 
12100518,337991,Medical facility,Other,2018-02-06,2018-03-03,25 
12100574,337991,Place not meant for habitation,Non-compliance with program,2018-03-15,2018-05-03,49 
12101526,431450,With friends temporarily,Other,2016-06-15,2016-07-01,16 
12101534,431449,With friends temporarily,Other,2016-06-21,2016-07-06,15 
12101807,431448,With friends temporarily,Other,2016-06-24,2016-07-16,22 
12101815,384356,With friends temporarily,Other,2016-06-24,2016-07-02,8 
12101839,384356,Medical facility,Other,2016-07-04,2016-07-20,16 
12101863,384356,With family temporarily,Death,2016-07-21,2016-08-04,14 
12101887,384356,With friends temporarily,Other,2016-06-24,2016-07-02,8 
12101911,384356,Medical facility,Other,2016-07-04,2016-07-20,16 
12101935,384356,With family temporarily,Death,2016-07-21,2016-08-04,14 
12129743,387703,With friends temporarily,Other,2015-08-15,2015-08-22,7 
12129922,387703,With friends temporarily,Other,2015-09-08,2015-10-14,36 
12130101,387703,With friends temporarily,Other,2015-10-26,2015-11-02,7 
12130280,387703,With friends temporarily,Other,2015-11-05,2015-11-09,4 
12130459,387703,Transitional homeless housing,Left for housing opp. before completing program,2015-12-14,2015-12-17,3 
12130638,387703,With friends temporarily,Other,2016-06-27,2016-07-05,8 
12130817,387703,Data not collected,Unknown/Disappeared,2016-07-07,2016-08-23,47 
12130996,387703,Data not collected,Unknown/Disappeared,2016-09-06,2016-10-24,48 
12131175,387703,Subsgtance abuse treatment center,Completed program,2016-11-28,2017-08-05,250 
12131354,387703,Place not meant for habitation,Non-compliance with program,2017-08-17,2017-08-29,12 
12131533,387703,No exit interview,Unknown/Disappeared,2018-05-21,2018-07-04,44 
12149433,387703,With friends temporarily,Other,2015-08-15,2015-08-22,7 
12149612,387703,With friends temporarily,Other,2015-09-08,2015-10-14,36 
12149791,387703,With friends temporarily,Other,2015-10-26,2015-11-02,7 
12149970,387703,With friends temporarily,Other,2015-11-05,2015-11-09,4 
12150149,387703,Transitional homeless housing,Left for housing opp. before completing program,2015-12-14,2015-12-17,3 
12150328,387703,With friends temporarily,Other,2016-06-27,2016-07-05,8 
12150507,387703,Data not collected,Unknown/Disappeared,2016-07-07,2016-08-23,47 
12150686,387703,Data not collected,Unknown/Disappeared,2016-09-06,2016-10-24,48 
12150865,387703,Subsgtance abuse treatment center,Completed program,2016-11-28,2017-08-05,250 
12151044,387703,Place not meant for habitation,Non-compliance with program,2017-08-17,2017-08-29,12 
12151223,387703,No exit interview,Unknown/Disappeared,2018-05-21,2018-07-04,44 
12191406,199315,With friends temporarily,Other,2016-06-27,2016-06-28,1 
12191420,199315,With friends temporarily,Other,2016-06-29,2016-06-30,1 
12191434,199315,With friends temporarily,Other,2016-07-01,2016-07-16,15 
12191448,199315,With friends temporarily,Other,2016-07-20,2016-07-22,2 
12191462,199315,With family permanently,Needs could not be met,2016-07-25,2016-08-04,10 
12191476,199315,Data not collected,Unknown/Disappeared,2016-10-21,2016-10-24,3 
12191490,199315,With family temporarily,Other,2017-04-12,2017-04-14,2 
12191994,199315,With friends temporarily,Other,2016-06-27,2016-06-28,1 
12192008,199315,With friends temporarily,Other,2016-06-29,2016-06-30,1 
12192022,199315,With friends temporarily,Other,2016-07-01,2016-07-16,15 
12192036,199315,With friends temporarily,Other,2016-07-20,2016-07-22,2 
12192050,199315,With family permanently,Needs could not be met,2016-07-25,2016-08-04,10 
12192064,199315,Data not collected,Unknown/Disappeared,2016-10-21,2016-10-24,3 
12192078,199315,With family temporarily,Other,2017-04-12,2017-04-14,2 
12231836,382261,Client rental with RRH subsidy,Completed program,2016-06-27,2017-11-19,510 
12237740,431761,With friends temporarily,Other,2016-06-29,2016-07-05,6 
12237764,431761,With friends temporarily,Other,2016-07-06,2016-07-22,16 
12237788,431761,No exit interview,Unknown/Disappeared,2016-07-24,2016-08-12,19 
12237956,104087,With friends temporarily,Other,2016-06-29,2016-07-01,2 
12238036,104087,With friends temporarily,Other,2016-07-19,2016-07-20,1 
12238116,104087,Data not collected,Unknown/Disappeared,2016-08-08,2016-11-13,97 
12238196,104087,No exit interview,Unknown/Disappeared,2016-11-15,2016-11-30,15 
12238276,104087,With family temporarily,Other,2016-12-08,2017-03-29,111 
12238356,104087,With family temporarily,Other,2017-04-03,2017-07-04,92 
12238436,104087,No exit interview,Non-compliance with program,2017-08-07,2017-12-18,133 
12238516,104087,Place not meant for habitation,Non-compliance with program,2019-03-04,2019-05-16,73 
12238596,104087,Place not meant for habitation,Non-compliance with program,2019-06-20,2019-06-28,8 
12238676,104087,Place not meant for habitation,Non-compliance with program,2019-07-22,2019-08-09,18 
12243556,104087,With friends temporarily,Other,2016-06-29,2016-07-01,2 
12243636,104087,With friends temporarily,Other,2016-07-19,2016-07-20,1 
12243716,104087,Data not collected,Unknown/Disappeared,2016-08-08,2016-11-13,97 
12243796,104087,No exit interview,Unknown/Disappeared,2016-11-15,2016-11-30,15 
12243876,104087,With family temporarily,Other,2016-12-08,2017-03-29,111 
12243956,104087,With family temporarily,Other,2017-04-03,2017-07-04,92 
12244036,104087,No exit interview,Non-compliance with program,2017-08-07,2017-12-18,133 
12244116,104087,Place not meant for habitation,Non-compliance with program,2019-03-04,2019-05-16,73 
12244196,104087,Place not meant for habitation,Non-compliance with program,2019-06-20,2019-06-28,8 
12244276,104087,Place not meant for habitation,Non-compliance with program,2019-07-22,2019-08-09,18 
12245156,104087,With friends temporarily,Other,2016-06-29,2016-07-01,2 
12245236,104087,With friends temporarily,Other,2016-07-19,2016-07-20,1 
12245316,104087,Data not collected,Unknown/Disappeared,2016-08-08,2016-11-13,97 
12245396,104087,No exit interview,Unknown/Disappeared,2016-11-15,2016-11-30,15 
12245476,104087,With family temporarily,Other,2016-12-08,2017-03-29,111 
12245556,104087,With family temporarily,Other,2017-04-03,2017-07-04,92 
12245636,104087,No exit interview,Non-compliance with program,2017-08-07,2017-12-18,133 
12245716,104087,Place not meant for habitation,Non-compliance with program,2019-03-04,2019-05-16,73 
12245796,104087,Place not meant for habitation,Non-compliance with program,2019-06-20,2019-06-28,8 
12245876,104087,Place not meant for habitation,Non-compliance with program,2019-07-22,2019-08-09,18 
12311622,431858,Medical facility,Other,2016-06-27,2016-07-22,25 
12311646,431858,With friends permanently,Left for housing opp. before completing program,2016-07-24,2016-12-12,141 
12311670,431858,Client rental without subsidy,Left for housing opp. before completing program,2016-12-21,2017-02-12,53 
12314582,320781,With friends temporarily,Other,2015-09-08,2015-09-09,1 
12314814,320781,With friends temporarily,Other,2015-09-21,2015-09-22,1 
12315046,320781,With friends temporarily,Other,2015-10-19,2015-10-23,4 
12315278,320781,With friends temporarily,Other,2015-11-02,2015-11-03,1 
12315510,320781,With friends temporarily,Other,2015-11-09,2015-11-12,3 
12315742,320781,With friends temporarily,Other,2015-11-24,2015-11-30,6 
12315974,320781,With friends temporarily,Other,2015-12-05,2015-12-06,1 
12316206,320781,With friends temporarily,Other,2015-12-07,2015-12-13,6 
12316438,320781,With friends temporarily,Other,2015-12-15,2015-12-17,2 
12316670,320781,With friends temporarily,Other,2015-12-19,2015-12-20,1 
12316902,320781,With friends temporarily,Other,2015-12-28,2015-12-30,2 
12317134,320781,With friends temporarily,Other,2016-01-02,2016-01-04,2 
12317366,320781,With friends temporarily,Other,2016-01-05,2016-01-06,1 
12317598,320781,With friends temporarily,Other,2016-01-18,2016-01-20,2 
12317830,320781,With friends temporarily,Other,2016-01-22,2016-01-25,3 
12318062,320781,With friends temporarily,Other,2016-02-22,2016-02-24,2 
12318294,320781,With friends temporarily,Other,2016-03-14,2016-03-16,2 
12318526,320781,With friends temporarily,Other,2016-04-21,2016-05-01,10 
12318758,320781,With friends temporarily,Other,2016-05-02,2016-05-04,2 
12318990,320781,With friends temporarily,Other,2016-05-05,2016-05-24,19 
12319222,320781,With friends temporarily,Other,2016-05-25,2016-05-30,5 
12319454,320781,With friends temporarily,Other,2016-06-02,2016-06-03,1 
12319686,320781,With friends temporarily,Other,2016-06-06,2016-07-01,25 
12319918,320781,Medical facility,Other,2016-07-04,2016-07-12,8 
12320150,320781,With friends temporarily,Other,2016-07-15,2016-07-16,1 
12320382,320781,Data not collected,Unknown/Disappeared,2016-07-19,2016-08-07,19 
12320614,320781,Data not collected,Unknown/Disappeared,2016-08-10,2016-08-15,5 
12320846,320781,Data not collected,Unknown/Disappeared,2016-08-16,2016-08-29,13 
12321078,320781,No exit interview,Unknown/Disappeared,2016-10-10,2016-12-27,78 
12509694,412781,With friends temporarily,Other,2016-07-04,2016-07-21,17 
12509696,412781,Data not collected,Non-compliance with program,2016-07-25,2016-09-08,45 
12515628,267315,Data not collected,Non-compliance with program,2016-07-01,2016-08-15,45 
12516488,431954,With friends temporarily,Other,2016-07-04,2016-07-05,1 
12518440,178701,With friends temporarily,Other,2016-07-05,2016-07-06,1 
12518450,178701,Psychiatric facility,Other,2016-07-07,2016-07-09,2 
